MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;FORMAT FRANCE SERVICES
16;3;Marcillat en Combrailles;Place Pierre-Bitard;;03161;03420;MARCILLAT EN COMBRAILLE;46.16708;2.63181;marcillatrelaisservicespublics@orange.fr;04 70 51 10 20;Collectivité;Commune de Marcillat en combrailles;-;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;;Espace labellisé
17;3;Ebreuil;21 allée du Chemin-de-Fer;Communauté de communes Saint-Pourçain Sioule Limagne;03107;03450;EBREUIL;46.11749;3.88534;msap-ebreuil@ccspsl.fr ;;Collectivité;communauté de communes Saint-pourçain sioule limagne;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;;Espace labellisé
18;6;Puget-Théniers;1 avenue Miss Pell;Foyer rural Cepage;06099;06260;PUGET THENIERS;43.95612;6.89381;contact@foyer-rural-cepage.com;04 93 03 31 15;Association;Foyer rural Cepage;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;-;;Espace labellisé
19;6;Tende;107 avenue 16 Septembre 1947;;06163;06430;TENDE;44.89739;7.592867;msap.tende@laposte.fr;;La Poste;La Poste;8:45 - 12:00 / 13:30 - 16:00;8:45 - 12:00;8:45 - 12:00 / 13:30 - 16:00;8:45 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;8:45 - 12:00;;Espace labellisé
20;6;Roquebillière;30 avenue Corniglion Molinier;Maison du département;06103;06450;ROQUEBILLIERE;44.01235;7.3889;;;Collectivité;Conseil Départemental des Alpes-Maritimes;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;9:00 - 12:00;;Espace labellisé
21;6;Saint-Vallier de Thiey;101 allée Charles Bonome;;06130;06460;ST VALLIER DE THIEY;43.70036;6.848674;;;Collectivité;Conseil Départemental des Alpes-Maritimes;9:00 - 18:00;9:00 - 18:00;9:00 - 18:00;9:00 - 18:00;9:00 - 18:00;9:00 - 12:00;;Espace labellisé
22;6;Épi;25 place de provence;Centre socioculturel;06071;06470;GUILLAUMES;44.89024;6.852917;epi@ufcv.fr;04 93 02 08 67;Association;UFCV;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;-;;Espace labellisé
23;6;St Etienne de Tinée;10 rue des communes de France;;06120;06660;ST ETIENNE DE TINEE;44.25495;6.925067;;;La Poste;La Poste;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00;;Espace labellisé
24;6;Colomars;1 place de la Madonne;;06046;06670;COLOMARS;43.75898;7.21986;msap.colomars@svdb.fr;04 93 37 82 42;Collectivité;SIVOM Val de la Banquière;-;8:30 - 12:30 / 13:30 - 16:30;9:00 - 12:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;9:00 - 12:30;;Espace labellisé
25;6;Plan du Var;368 avenue Porte des Alpes;;06075;06670;LEVENS;43.85641;7.196771;mddpdv@departement06.fr;04 89 04 35 00;Collectivité;Conseil Départemental des Alpes-Maritimes;8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;-;;Espace labellisé
26;6;Saint-André de la Roche;2 rue du Ghet;Résidence La Laupia;06114;06732;ST ANDRE DE LA NOCHE;43.73886;7.288461;;;Collectivité;Conseil Départemental des Alpes-Maritimes;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;-;;Espace labellisé
27;6;Les Monts d’Azur;344 avenue des Hôtels;;06116;06850;ST AUBAN;43.84683;6.72899;msap@paysdegrasse.fr;04 93 60 42 30;Collectivité;Communauté d’agglomération du pays de Grasse;8:15 - 17:00;8:15 - 17:00;8:15 - 17:00;8:15 - 17:00;8:15 - 17:00;-;;Espace labellisé
28;7;Vernoux en Vivarais;25, avenue Vincent d'Indy;;07338;07240;VERNOUX EN VIVARAIS;44.89692;4.646223;msap.vernoux@privas-centre-ardeche.fr;;Collectivité;CA Privas Centre Ardèche;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30;9:00 - 12:30 / 13:30 - 17:00;13:30 - 17:00;-;;Espace labellisé
29;7;Saint Agrève;4, place de Verdun;Centre socio culturel;07204;07320;ST AGREVE;45.01001;4.394552;msap-stagreve@inforoutes.fr;;Collectivité;Mairie de St Agrève;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 18:00;8:30 - 12:00 ;8:30 - 12:30 / 13:30 - 18:00;8:30 - 12:00 / 13:00 - 16:30;-;;Espace labellisé
30;7;Thueyts;11, rue Pouget;;07322;07330;THUEYTS;44.67573;4.222033;msap-thueyts@inforoutes.fr;;Collectivité;CC de l'Ardèche des Sources et des Volcans;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;-;;Espace labellisé
31;7;St Marcel d'Ardèche;Place du portail du Rhône;;07264;07700;SAINT MARCEL D'ARDECHE;44.32647;4.61922;msp.saintmarceldardeche@orange.fr;04 75 91 40 07;Collectivité;CC du Rhône aux Gorges de l'Ardèche;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
33;8;Bogny-sur-Meuse;34 rue Maurice Louis;;08081;08120;BOGNY SUR MEUSE;49.85844;4.736933;msap@aymonlire.fr;03 24 52 45 39;Opérateur;Centre socio-culturel Aymon Lire;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;14:00 - 17:00;14:00 - 17:00;14:00 - 17:00;-;Oui;Espace labellisé
34;8;Attigny;17 place Charlemagne;;08025;08130;ATTIGNY;49.47812;4.578587;;;La Poste;La Poste;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00;;Espace labellisé
48;8;Poix-Terron;1 place de la Halle;;08341;08430;POIX TERRON;49.64887;4.642524;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 11:30;;Espace labellisé
50;8;Signy-l’Abbaye;27 rue de Thin;;08419;08460;SIGNY L ABBAYE;49.69842;4.421826;msap.signylabbaye@orange.fr;;Collectivité;Communautés de communes les crêtes préardennaises;13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:30;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:30;9:00 - 12:00 / 13:30 - 18:00;10:00 - 12:00;;Espace labellisé
51;8;Revin;Chemin du Vieux Chêne;;08363;08500;REVIN;49.92706;4.646716;csorzy.franceservices@gmail.com;03 24 40 32 34;Opérateur;Centre social Orzy;9:00 - 12:00 / 13:30 - 17:00 // Sur RDV : 17:00 - 19:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
53;9;Ax les Thermes;Place Roussel;;09032;09110;AX LES THERMES;42.71982;1.8376;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
54;9;Saint-Girons;Rue Joseph Sentenac;;09261;09200;ST GIRONS;42.98346;1.146293;france.services@couserans-pyrenes.fr;05 61 64 10 51;;;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;Semaines paires : 9:00 - 12:00 / 13:30 - 17:00 //  Semaines impaires : 9:00 - 18:00;9:00 - 12:00 / 13:30 - 17:00;Semaines paires : 10:00 - 12:00 //  Semaines impaires : fermé;;Espace labellisé
55;9;Tarascon sur Ariège;Rue Jean Moulin;;09306;09400;TARASCON SUR ARIEGE;42.85032;1.605623;franceservices@mairie-tarascon.com;05 34 14 32 32;;;14:00 - 17:30;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;-;;Espace labellisé
56;9;Mirepoix;1 b Chemin de la Mestrise;;09194;09500;MIREPOIX;43.87446;1.872035;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
57;10;Saint Lyé;1 rue Henri Rodin;;10349;10180;ST LYE;48.36178;4.00465;franceservices.saintlye@troyes-cm.fr;09 62 63 75 48;Collectivité;Troyes Champagne Métropole;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;;Espace labellisé
58;10;Estissac;2 rue Laurent Lesséré;;10142;10190;ESTISSAC;48.26639;3.88958;franceservices.estissac@troyes-cm.fr;03 25 40 42 42;Collectivité;Troyes Champagne Métropole;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;;Espace labellisé
59;10;Bar sur Aube;144 route Nationale;;10033;10200;BAR-SUR-AUBE;48.23474;4.704691;;;Opérateur;MSA;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;-;;Espace labellisé
60;10;Soulaines;2 rue du Plessis;;10372;10200;SOULAINES DHUYS;48.37412;4.734867;mfs.soulaines@ccvendeuvresoulaines.fr;;Collectivité;CC Vendeuvre Soulaines;-;14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;9:00 - 12:30;;Espace labellisé
62;11;PIMMS du Narbonnais;8 avenue du Maréchal Foch;;11262;11000;NARBONNE;43.18723;3.005378;narbonne@pimms.org;04 68 43 68 93;PIMMS;Union Nationale des PIMMS;8:30 - 12:00 / 14:00 - 17:00;14:00 - 17:00;8:30 - 12:00 / 14:00 - 17:00;14:00 - 17:00;8:30 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
63;11;PIMMS - Corbières Méditerranée;2 place de la Libération;;11379;11130;SIGEAN;43.0288;2.979497;sigean@pimms.org;04 68 33 51 12;PIMMS;Union Nationale des PIMMS;14:00 - 17:00;9:00 - 13:00 / 14:00 - 19:00;9:00 - 13:00 / 14:00 - 17:00;14:00 - 17:00;9:00 - 12:00;-;;Espace labellisé
64;11;Piège Lauragais Malepere;62 rue bonrepos;;11049;11150;BRAM;43.24158;2.118852;franceservices.sud@terres-du-lauragais.fr;05 34 66 91 64;Collectivité;CDC PIEGE LAURAGAIS MALEPERE;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
65;11;Limouxin;17 chemin Farinier;;11206;11300;LIMOUX;43.05739;2.213259;;;Opérateur;MSA;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
66;11;Massif de Mouthoumet;23 rue de la gare;;11260;11330;MOUTHOUMET;42.96028;2.526948;adhco.developpement@orange.fr;04 68 70 18 50;Association;ADHCO CENTRE SOCIAL;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;-;;Espace labellisé
67;11;Castelnaudary Lauragais Audois;9 Rue des Rosiers;;11371;11410;SALLES SUR L HERS;43.29356;1.782531;;;Association;ENERGIES PIEGE;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;-;;Espace labellisé
68;11;Carcassone Agglo;2 rue des Figuères;;11068;11700;CAPENDU;43.18414;2.556949;msap@carcassonne-agglo.fr;;Collectivité;CARCASSONNE AGGLO;8:00 - 13:00 / 14:00 - 17:00;8:00 - 13:00 / 14:00 - 17:00;8:30 - 12:00;8:00 - 13:00 / 14:00 - 17:00;8:00 - 13:00 / 14:00 - 17:00;-;;Espace labellisé
69;12;Arvieu;Place de l'Eglise;;12011;12120;ARVIEU;44.1899;2.661389;msap@arvieu.fr;05 65 46 06 06;Collectivité;Commune;-;10:00 - 12:30 / 14:00 - 18:00;10:00 - 12:30 / 14:00 - 16:00;10:00 - 12:30 / 14:00 - 18:00;10:00 - 12:30 / 14:00 - 18:00;10:00 - 12:30;;Espace labellisé
70;12;Pays d’Olt et d’Aubrac;2 rue du cours;;12224;12130;ST GENIEZ D OLT;44.46528;2.971895;centresocialpaysdolt@yahoo.fr;05 65 70 30 29;Association;Centre social du Pays d’Olt;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
71;12;Réquista « Le Bercail »;7 avenue Vallée du Tarn;;12197;12170;REQUISTA;;;lebercail@requistanais.com;05 65 43 68 64;Association;Familles Rurales du Réquistanais;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00 / Après-midi sur RDV;10:00 - 13:00;;Espace labellisé
72;12;Conques-Marcillac;28 avenue Gustave Bessière;La Maison du Territoire;12138;12330;MARCILLAC VALLON;;;franceservices@cc-conques-marcillac.fr;05 65 71 34 36;Collectivité;Communauté de communes de Conques Marcillac;13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;-;;Espace labellisé
73;12;Bozouls Comtal;1 Allée Paul Causse;;12033;12340;BOZOULS;44.47106;2.722624;msap-bozoulscomtal@orange.fr;;Association;Point Emploi Bozouls Comtal;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
74;12;Argences en Aubrac;Place des Tilleuls;;12223;12420;ARGENCES EN AUBRAC;44.80357;2.758876;contact@argencesenaubrac.fr;;Collectivité;Commune;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00;;Espace labellisé
75;12;Pays Ségali - Naucelle;35 Avenue de la Gare;Centre Social;12169;12800;NAUCELLE;44.19603;2.343592;cscps.franceservices@orange.fr;05 65 72 29 19;Association;Centre social et rural du Pays Ségali;-;9:00 - 12:00 / 13:00 - 17:00;-;-;-;-;Oui;Espace labellisé
76;13;Panier;11 - 13 rue Caisserie;;13202;13002;MARSEILLE;43.2972;5.368716;pfsp.lepanier@leolagrange.org;04 91 13 21 91;;;8:30 - 12:30;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
77;13;Port St Louis;4 rue Jean Rouget;;13078;13230;PORT-SAINT-LOUIS-DU-RHÔNE;43.3873;4.801791;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
78;13;Stes Maries de la Mer;2 avenue Léon Gambetta;;13096;13460;STES MARIES-DE-LA-MER;43.45832;4.429546;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
79;14;Caen Pierre Heuzé;15 place Champlain;;14118;14000;CAEN;49.19772;-0.34742;l.halouse@caen.fr;02 31 94 65 94;Collectivité;Mairie de quartier;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;Pendant les vacances scolaires : 9:00 - 12:00 / 13:00 - 17:00;;Espace labellisé
80;14;Caen Venoix;18 avenue des chevaliers;;14118;14000;CAEN;49.17675;-0.40069;pointinfo14.pvqcentresudouest@caen.fr;02 14 37 31 00;Collectivité;Mairie de quartier;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;Pendant les vacances scolaires : 9:00 - 12:00 / 13:00 - 17:00;;Espace labellisé
81;14;Condé en Normandie;31 place de l’hôtel de ville;;14174;14110;CONDE EN NORMANDIE;48.85075;-0.55301;alegrain@condenormandie.fr;02 31 69 71 94;Collectivité;CCAS;8:30 - 12:00 / 14:30 - 17:00;8:30 - 12:00 / 14:30 - 17:00;8:30 - 12:00 / 14:30 - 17:00;8:30 - 12:00 / 14:30 - 17:00;8:30 - 12:00 / 14:30 - 17:00;-;;Espace labellisé
82;14;Terre d’Auge;9 rue de l 'hippodrome;;14514;14130;PONT L EVEQUE;;;dgs@terredauge.fr;02 52 56 98 34;Collectivité;Siège EPCI;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / Sur RDV;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
84;14;Ouistreham;Place Albert Lemarignier;;14488;14150;OUISTREHAM;49.27589;-0.25865;pointinfo14ouistreham@orange.fr;02 31 37 44 16;Collectivité;mairie;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;10:00 - 12:00;;Espace labellisé
86;14;Le Hom;4 rue du Dr Gourdin;;14689;14220;LE HOM;48.9867;-0.47244;pointinfo14@cingal-suissenormande.fr;02 31 79 27 77;Collectivité;Siège EPCI;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
88;14;Mézidon;12 rue Voltaire ;;14431;14270;MEZIDON VALLEE D AUGE;49.07189;-0.07376;maisondeservices@gmail.com;02 31 42 68 54;Collectivité;Anrtenne EPCI;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:00 - 12:30;;Espace labellisé
89;14;Val ès Dunes;10 rue Léonard Gille;;14057;14370;BELLENGREVILLE;;;msap@valesdunes.fr;02 31 23 68 08;Collectivité;Celle Emploi de la Cc Val ès Dunes;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
