MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE
18;6;Puget-Théniers;1 avenue Miss Pell;Foyer rural Cepage;00699;06260;PUGET THENIERS;43,956124;6,89381;contact@foyer-rural-cepage.com;4 93 03 31 15;Association;Foyer rural Cepage;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;-;
19;6;Tende;107 avenue 16 Septembre 1947;;06163;06430;TENDE;44,89739;7,592867;msap.tende@laposte.fr;;La Poste;La Poste;8:45 - 12:00 / 13:30 - 16:00;8:45 - 12:00;8:45 - 12:00 / 13:30 - 16:00;8:45 - 12:00 / 13:30 - 16:00;9:30 - 12:00 / 13:30 - 16:00;8:45 - 12:00;
20;6;Roquebillière;30 avenue Corniglion Molinier;Maison du département;06103;06450;ROQUEBILLIERE;44,012349;7,3889;;;Collectivité;Conseil Départemental des Alpes-Maritimes;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;9:00 - 12:00;
21;6;Saint-Vallier de Thiey;101 allée Charles Bonome;;06130;06460;ST VALLIER DE THIEY;43,700356;6,848674;;;Collectivité;Conseil Départemental des Alpes-Maritimes;9:00 - 18:00;9:00 - 18:00;9:00 - 18:00;9:00 - 18:00;9:00 - 18:00;9:00 - 12:00;
22;6;Épi;25 place de provence;Centre socioculturel;06071;06470;GUILLAUMES;44,89024;6,852917;;;Association;UFCV;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;-;
23;6;St Etienne de Tinée;10 rue des communes de France;;06120;06660;ST ETIENNE DE TINEE;44,254953;6,925067;;;La Poste;La Poste;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00 / 14:00 - 16:00;8:45 - 12:00;
24;6;Colomars;1 place de la Madonne;;06046;06670;COLOMARS;43,758975;7,21986;coordo.esf.msap@svdb.fr;;Collectivité;SIVOM Val de la Banquière;-;8:30 - 12:30 / 13:30 - 16:30;9:00 - 12:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;9:00 - 12:30;
25;6;Plan du Var;368 avenue Porte des Alpes;;06075;06670;LEVENS;43,856406;7,196771;;;Collectivité;Conseil Départemental des Alpes-Maritimes;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;-;
26;6;Saint-André de la Roche;2 rue du Ghet;Résidence La Laupia;06114;06732;ST ANDRE DE LA NOCHE;43,738855;7,288461;;;Collectivité;Conseil Départemental des Alpes-Maritimes;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;8:30 - 17:30;-;
27;6;Les Monts d’Azur;344 avenue des Hôtels;;06116;06850;ST AUBAN;43,84683;6,72899;;;Collectivité;Communauté d’agglomération du pays de Grasse;8:15 - 17:00;8:15 - 17:00;8:15 - 17:00;8:15 - 17:00;8:15 - 17:00;-;
28;7;Vernoux en Vivarais;25, avenue Vincent d'Indy;;07338;07240;VERNOUX EN VIVARAIS;44,896924;4,646223;msap.vernoux@privas-centre-ardeche.fr;;Collectivité;CA Privas Centre Ardèche;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30;9:00 - 12:30 / 13:30 - 17:00;13:30 - 17:00;-;
29;7;Saint Agrève;4, place de Verdun;Centre socio culturel;07204;07320;ST AGREVE;45,010011;4,394552;msap-stagreve@inforoutes.fr;;Collectivité;Mairie de St Agrève;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 18:00;8:30 - 12:00 ;8:30 - 12:30 / 13:30 - 18:00;8:30 - 12:00 / 13:00 - 16:30;-;
30;7;Thueyts;11, rue Pouget;;07322;07330;THUEYTS;44,675733;4,222033;msap-thueyts@inforoutes.fr;;Collectivité;CC de l'Ardèche des Sources et des Volcans;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;-;
31;7;St Marcel d'Ardèche;Place du portail du Rhône;;07264;07700;SAINT MARCEL D'ARDECHE;44,326469;4,61922;msp.saintmarceldardeche@orange.fr;4 75 91 40 07;Collectivité;CC du Rhône aux Gorges de l'Ardèche;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
33;8;Bogny-sur-Meuse;34 rue Maurice Louis;Espace Léon Bousquet;00881;08120;BOGNY SUR MEUSE;49,858435;4,736933;msapbogny@gmail.com;;Opérateur;Centre socio-culturel Aymon Lire;14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:00;-;14:00 - 17:00;14:00 - 17:00;-;Oui
34;8;Attigny;17 place Charlemagne;;08025;08130;ATTIGNY;49,478115;4,578587;;;La Poste;La Poste;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00;
48;8;Poix-Terron;1 place de la Halle;;08341;08430;POIX TERRON;49,648873;4,642524;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 11:30;
50;8;Signy-l’Abbaye;27 rue de Thin;;08419;08460;SIGNY L ABBAYE;49,698416;4,421826;msap.signylabbaye@orange.fr;;Collectivité;Communautés de communes les crêtes préardennaises;13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:30;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:30;9:00 - 12:00 / 13:30 - 18:00;10:00 - 12:00;
51;8;Revin;Chemin du Vieux Chêne;;08363;08500;REVIN;49,927058;4,646716;msap@cs-ouestavenue.net;;Opérateur;Centre social Orzy;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
53;9;Ax les Thermes;Place Roussel;;09032;09110;AX LES THERMES;42,719819;1,8376;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
54;9;Saint-Girons;Rue Joseph Sentenac;;09261;09200;ST GIRONS;42,983461;1,146293;msap.saint-girons@couserans-pyrenees.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
55;9;Tarascon sur Ariège;Rue Jean Moulin;;09306;09400;TARASCON SUR ARIEGE;42,850315;1,605623;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
56;9;Mirepoix;1 b Chemin de la Mestrise;;09194;09500;MIREPOIX;43,87446;1,872035;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
57;10;Saint Lyé;1 rue Henri Rodin;;10349;10180;ST LYE;48,361778;4,00465;;;Collectivité;Troyes Champagne Métropole;-;9:00 - 13:00 / 15:30 - 18:30;-;9:00 - 13:00 / 15:30 - 18:30;-;9:00 - 12:00;
58;10;Estissac;2 rue Laurent Lesséré;;10142;10190;ESTISSAC;48,266388;3,88958;;;Collectivité;Troyes Champagne Métropole;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:30;-;
59;10;Bar sur Aube;144 route Nationale;;10033;10200;BAR-SUR-AUBE;48,234738;4,704691;;;Opérateur;MSA;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;9:15 - 12:15 / 13:30 - 16:30;-;
60;10;Soulaines;2 rue du Plessis;;10372;10200;SOULAINES DHUYS;48,374117;4,734867;mfs.soulaines@ccvendeuvresoulaines.fr;;Collectivité;CC Vendeuvre Soulaines;-;14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;9:00 - 12:30;
62;11;PIMMS du Narbonnais;8 avenue du Maréchal Foch;;11262;11000;NARBONNE;43,187225;3,005378;narbonne@pimms.org;4 68 43 68 93;PIMMS;Union Nationale des PIMMS;8:30 - 12:00 / 14:00 - 17:00;14:00 - 17:00;8:30 - 12:00 / 14:00 - 17:00;14:00 - 17:00;8:30 - 12:00 / 14:00 - 17:00;-;
63;11;PIMMS - Corbières Méditerranée;2 place de la Libération;;11379;11130;SIGEAN;43,0288;2,979497;sigean@pimms.org;04 68 33 51 12;PIMMS;Union Nationale des PIMMS;14:00 - 17:00;9:00 - 13:00 / 14:00 - 19:00;9:00 - 13:00 / 14:00 - 17:00;14:00 - 17:00;9:00 - 12:00;-;
64;11;Piège Lauragais Malepere;62 rue bonrepos;;11049;11150;BRAM;43,241583;2,118852;msap@ccplm.fr;;Collectivité;CDC PIEGE LAURAGAIS MALEPERE;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
65;11;Limouxin;17 chemin Farinier;;11206;11300;LIMOUX;43,05739;2,213259;;;Opérateur;MSA;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 16:30;-;
66;11;Massif de Mouthoumet;23 rue de la gare;;11260;11330;MOUTHOUMET;42,960276;2,526948;adhco.developpement@orange.fr;4 68 70 18 50;Association;ADHCO CENTRE SOCIAL;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;-;
67;11;Castelnaudary Lauragais Audois;9 Rue des Rosiers;;11371;11410;SALLES SUR L HERS;43,293559;1,782531;;;Association;ENERGIES PIEGE;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;-;
68;11;Carcassone Agglo;2 rue des Figuères;;11068;11700;CAPENDU;43,184142;2,556949;msap@carcassonne-agglo.fr;;Collectivité;CARCASSONNE AGGLO;8:00 - 13:00 / 14:00 - 17:00;8:00 - 13:00 / 14:00 - 17:00;8:30 - 12:00;8:00 - 13:00 / 14:00 - 17:00;8:00 - 13:00 / 14:00 - 17:00;-;
69;12;Arvieu;Place de l'Eglise;;12011;12120;ARVIEU;44,189901;2,661389;msap@arvieu.fr;5 65 46 06 06;Collectivité;Commune;-;10:00 - 12:30 / 14:00 - 18:00;10:00 - 12:30 / 14:00 - 16:00;10:00 - 12:30 / 14:00 - 18:00;10:00 - 12:30 / 14:00 - 18:00;10:00 - 12:30;
70;12;Pays d’Olt et d’Aubrac;2 rue du cours;;12224;12130;ST GENIEZ D OLT;44,465278;2,971895;centresocialpaysdolt@yahoo.fr;5 65 70 30 29;Association;Centre social du Pays d’Olt;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
71;12;Réquista « Le Bercail »;Place des Anciens Combattants;;12197;12170;REQUISTA;44,031745;2,535231;accueilbercail@gmail.com;;Association;Familles Rurales du Réquistanais;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
72;12;Conques-Marcillac;11 Place de l'Eglise;;12138;12330;MARCILLAC VALLON;44,473881;2,463351;;;Collectivité;Communauté de communes de Conques Marcillac;13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;-;
73;12;Bozouls Comtal;1 Allée Paul Causse;;12033;12340;BOZOULS;44,471058;2,722624;msap-bozoulscomtal@orange.fr;;Association;Point Emploi Bozouls Comtal;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:00;-;
74;12;Argences en Aubrac;Place des Tilleuls;;12223;12420;ARGENCES EN AUBRAC;44,803569;2,758876;contact@argencesenaubrac.fr;;Collectivité;Commune;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00;
75;12;Pays Ségali;35 Avenue de la Gare;;12169;12800;NAUCELLE;44,19603;2,343592;cscps.animation.sociale@orange.fr;;Association;Centre social et rural du Pays Ségali;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;Oui
76;13;Panier;11- 13 rue Caisserie;;13202;13002;MARSEILLE;43,297198;5,368716;pfsp.lepanier@leolagrange.org;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
77;13;Port St Louis;4 rue Jean Rouget;;13078;13230;PORT-SAINT-LOUIS-DU-RHÔNE;43,3873;4,801791;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
78;13;Stes Maries de la Mer;2 avenue Léon Gambetta;;01396;13460;STES MARIES-DE-LA-MER;43,45832;4,429546;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
79;14;Caen Pierre Heuzé;15 place Champlain;;14118;14000;CAEN;49,197716;-0,347423;l.halouse@caen.fr;02 31 94 65 94;Collectivité;Mairie de quartier;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;Pendant les vacances scolaires : 9:00 - 12:00 / 13:00 - 17:00;
80;14;Caen Venoix;18 avenue des chevaliers;;14118;14000;CAEN;49,176745;-0,400691;a.leboucher@caen.fr;02 14 37 31 00;Collectivité;Mairie de quartier;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 18:00;Pendant les vacances scolaires : 9:00 - 12:00 / 13:00 - 17:00;
81;14;Condé en Normandie;31 place de l’hôtel de ville;;14174;14110;CONDE EN NORMANDIE;48,850754;-0,55301;callix@condenormandie.fr;02 31 69 71 94;Collectivité;CCAS;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;-;
82;14;Terre d’Auge;43 rue Georges Clémenceau;;14514;14130;PONT L EVEQUE;49,288806;0,194982;dgs@terredauge.fr;02 52 56 98 34;Collectivité;Siège EPCI;13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:00;8:30 - 12:30 / 13:30 - 16:00;8:30 - 12:30 / 13:30 - 16:00;8:30 - 12:30 / 13:30 - 16:00;-;
84;14;Ouistreham;Place Albert Lemarignier;;14488;14150;OUISTREHAM;49,27589;-0,258646;pointinfo14ouistreham@orange.fr;02 31 37 44 16;Collectivité;mairie;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;10:00 - 12:00;
86;14;Le Hom;4 rue du Dr Gourdin;;14689;14220;LE HOM;48,986703;-0,472436;pointinfo14@cingal-suissenormande.fr;02 31 79 27 77;Collectivité;Siège EPCI;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
87;14;Isigny sur mer;16 rue Emile Demagny;;14342;14230;ISIGNY SUR MER;49,319036;-1,100551;pi14.isigny@isigny-omaha-intercom.fr;02 31 92 68 71;Collectivité;Antenne EPCI;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
88;14;Mézidon;12 rue Voltaire ;;14431;14270;MEZIDON VALLEE D AUGE;49,071887;-0,07376;vdeveaux@agglo-lisieux.fr;02 31 42 68 54;Collectivité;Anrtenne EPCI;13:00 - 18:00;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:30 - 12:30 / 13:30 - 17:30;9:00 - 12:00;
89;14;Val ès Dunes;9 rue Léonard Gille;;14057;14370;BELLENGREVILLE;49,126024;-0,213907;msap@valesdunes.fr;02 31 80 78 28;Collectivité;Celle Emploi de la Cc Val ès Dunes;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;-;
90;14;Noues de Siennes;1 place de la mairie;;14658;14380;SAINT SEVER-NOUES DE SIENNES;48,84107;-1,047745;pi14@nouesdesienne.fr;02 31 09 27 76;Collectivité;Centre socio-culturel communal;8:30 - 12:15 / 13:15 - 17:00;8:30 - 12:15 / 13:15 - 17:00;8:30 - 12:15;8:30 - 12:15 / 13:15 - 17:00;8:30 - 12:15 / 13:15 - 17:00;-;
91;14;Potigny;Place de la 1ère Division Blindée Polonaise;;14516;14420;POTIGNY;;;ville-potigny@wanadoo.fr;2 31 90 70 25;Collectivité;Mairie;8:15 - 12:15 / 13:15 - 17:00;8:15 - 12:15 / 13:15 - 17:00;8:15 - 12:15 / 13:15 - 17:00;8:15 - 12:15 / 13:15 - 17:00;8:15 - 12:15 / 13:15 - 17:00;-;
92;14;Dozulé;128 grande rue;;14229;14430;DOZULE;49,23952;-0,045018;accueil@normandiecabourgpaysdauge.fr;02 31 73 00 75;Collectivité;Antenne EPCI;8:45 - 12:30 / 13:30 - 17:00;8:45 - 12:30 / 13:30 - 17:00;8:45 - 12:30;8:45 - 12:30 / 13:30 - 17:00;8:45 - 12:30 / 13:30 - 17:00;-;
93;14;Courseulles sur Mer;4 rue Arthur Leduc;;14191;14470;COURSEULLES SUR MER;49,334117;-0,456807;mairie@ville-courseulles.fr;02 31 36 22 50;Collectivité;CCAS;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 13:00 / 14:00 - 16:30;-;
94;14;Troarn;Place Raphaël Briard;;14712;14670;TROARN;49,182819;-0,182488;pi14saline@orange.fr;02 31 26 36 09;Collectivité;CCAS;8:30 - 11:45 / 13:30 - 17:15;8:30 - 11:45 / 13:30 - 17:15;8:30 - 11:45;Sur RDV : 8:30 - 11:45 / Sans RDV : 13:30 - 17:15;8:30 - 11:45 / 13:30 - 16:15;-;
97;15;Chaudes Aigues;29 Avenue Pierre Vialard;;15045;15110;CHAUDES AIGUES;44,855043;3,005663;;;Collectivité;Saint-Flour Communauté;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
